Nombre_Empleado,Apellido_Empleado,Nombre_Completo,ID_Empleado,Año,Proyecto,Calidad,Satisfacción,Productividad,Trabajo en equipo,Reclamaciones
HOLDEN,RAMIREZ,HOLDEN RAMIREZ,1228,2022,Vatro,25.56,0.75,0.66,0.63,13 Reclamaciones
EMILIO,LEWIS,EMILIO LEWIS,1229,2022,JustVDB,22.57,0.95,0.76,0.7,3 Reclamaciones
REMINGTON,ROBINSON,REMINGTON ROBINSON,1230,2022,CloudConnect,27.13,0.78,0.81,0.65,56 Reclamaciones
JEREMY,WALKER,JEREMY WALKER,1231,2022,InnovaTech,19.80,0.83,0.67,0.65,83 Reclamaciones
KALEB,YOUNG,KALEB YOUNG,1232,2022,JustVDB,21.58,0.86,0.83,0.6,27 Reclamaciones
BRANTLEY,ALLEN,BRANTLEY ALLEN,1233,2022,JustVDB,22.49,0.87,0.84,0.44,61 Reclamaciones
BRYCE,KING,BRYCE KING,1234,2022,JustVDB,22.19,0.98,0.7,0.48,92 Reclamaciones
MARK,WRIGHT,MARK WRIGHT,1235,2022,CloudConnect,10.12,0.93,0.86,0.65,69 Reclamaciones
KNOX,SCOTT,KNOX SCOTT,1236,2022,SmartNet,21.93,0.8,0.65,0.61,35 Reclamaciones
ISRAEL,TORRES,ISRAEL TORRES,1237,2022,CyberSafe,9.65,0.97,0.68,0.7,22 Reclamaciones
PHOENIX,NGUYEN,PHOENIX NGUYEN,1238,2022,AIBoost,22.11,0.77,0.75,0.67,44 Reclamaciones
KOBE,HILL,KOBE HILL,1239,2022,SmartNet,22.19,0.74,0.68,0.53,88 Reclamaciones
NASH,FLORES,NASH FLORES,1240,2022,Vatro,12.20,0.76,0.75,0.59,95 Reclamaciones
GRIFFIN,GREEN,GRIFFIN GREEN,1241,2022,InnovaTech,24.65,0.96,0.86,0.67,54 Reclamaciones
CADEN,ADAMS,CADEN ADAMS,1242,2022,CyberSafe,20.92,0.79,0.82,0.66,70 Reclamaciones
KENNETH,NELSON,KENNETH NELSON,1243,2022,CyberSafe,9.03,0.93,0.73,0.46,68 Reclamaciones
KYLER,BAKER,KYLER BAKER,1244,2022,CyberSafe,23.18,0.88,0.86,0.43,89 Reclamaciones
HAYES,HALL,HAYES HALL,1245,2022,CloudConnect,21.08,0.83,0.82,0.51,50 Reclamaciones
JAX,RIVERA,JAX RIVERA,1246,2022,CloudConnect,22.09,0.97,0.74,0.48,37 Reclamaciones
RAFAEL,CAMPBELL,RAFAEL CAMPBELL,1247,2022,CloudConnect,9.28,0.8,0.72,0.5,55 Reclamaciones
BECKHAM,MITCHELL,BECKHAM MITCHELL,1248,2022,InnovaTech,12.18,0.82,0.69,0.54,25 Reclamaciones
JAVIER,CARTER,JAVIER CARTER,1249,2022,AIBoost,13.68,0.92,0.68,0.54,85 Reclamaciones
MAXIMUS,ROBERTS,MAXIMUS ROBERTS,1250,2022,CyberSafe,21.88,0.82,0.7,0.51,42 Reclamaciones
SIMON,GOMEZ,SIMON GOMEZ,1251,2022,SmartNet,28.95,0.77,0.67,0.64,97 Reclamaciones
PAUL,PHILLIPS,PAUL PHILLIPS,1252,2022,CloudConnect,21.54,0.96,0.66,0.44,30 Reclamaciones
OMAR,EVANS,OMAR EVANS,1253,2022,AIBoost,10.16,0.9,0.73,0.57,84 Reclamaciones
KADEN,TURNER,KADEN TURNER,1254,2022,AIBoost,21.77,0.93,0.76,0.5,38 Reclamaciones
KASH,DIAZ,KASH DIAZ,1255,2022,SmartNet,25.68,0.82,0.9,0.45,34 Reclamaciones
LANE,PARKER,LANE PARKER,1256,2022,InnovaTech,10.39,0.84,0.82,0.46,8 Reclamaciones
BRYAN,CRUZ,BRYAN CRUZ,1257,2022,CyberSafe,25.09,0.88,0.88,0.5,14 Reclamaciones
RILEY,EDWARDS,RILEY EDWARDS,1258,2022,InnovaTech,22.40,0.75,0.87,0.7,75 Reclamaciones
ZANE,COLLINS,ZANE COLLINS,1259,2022,Vatro,25.38,0.88,0.84,0.55,36 Reclamaciones
LOUIS,REYES,LOUIS REYES,1260,2022,SmartNet,24.18,0.95,0.84,0.47,49 Reclamaciones
AIDAN,STEWART,AIDAN STEWART,1261,2022,InnovaTech,22.11,0.88,0.83,0.52,9 Reclamaciones
PAXTON,MORRIS,PAXTON MORRIS,1262,2022,AIBoost,26.47,0.75,0.71,0.49,3 Reclamaciones
MAXIMILIANO,MORALES,MAXIMILIANO MORALES,1263,2022,CloudConnect,26.82,0.92,0.71,0.43,72 Reclamaciones
KARSON,MURPHY,KARSON MURPHY,1264,2022,InnovaTech,27.19,0.95,0.86,0.49,40 Reclamaciones
CASH,COOK,CASH COOK,1265,2022,SmartNet,10.39,0.98,0.8,0.49,27 Reclamaciones
CAYDEN,ROGERS,CAYDEN ROGERS,1266,2022,CloudConnect,25.19,0.91,0.7,0.49,21 Reclamaciones
EMERSON,GUTIERREZ,EMERSON GUTIERREZ,1267,2022,InnovaTech,22.25,0.89,0.87,0.48,52 Reclamaciones
TOBIAS,ORTIZ,TOBIAS ORTIZ,1268,2022,CyberSafe,8.78,0.73,0.76,0.56,64 Reclamaciones
RONAN,MORGAN,RONAN MORGAN,1269,2022,InnovaTech,27.43,0.83,0.77,0.7,30 Reclamaciones
BRIAN,COOPER,BRIAN COOPER,1270,2022,JustVDB,23.63,0.94,0.71,0.62,49 Reclamaciones
DALLAS,PETERSON,DALLAS PETERSON,1271,2022,SmartNet,21.87,1,0.81,0.7,12 Reclamaciones
BRADLEY,BAILEY,BRADLEY BAILEY,1272,2022,Vatro,10.76,0.8,0.84,0.64,37 Reclamaciones
JORGE,REED,JORGE REED,1273,2022,AIBoost,12.82,0.78,0.73,0.59,65 Reclamaciones
WALTER,KELLY,WALTER KELLY,1274,2022,SmartNet,25.99,0.93,0.81,0.53,0 Reclamaciones
JOSUE,HOWARD,JOSUE HOWARD,1275,2022,Vatro,9.58,0.92,0.89,0.64,75 Reclamaciones
KHALIL,RAMOS,KHALIL RAMOS,1276,2022,CloudConnect,26.57,0.82,0.69,0.65,75 Reclamaciones
DAMIEN,KIM,DAMIEN KIM,1277,2022,CyberSafe,25.80,0.83,0.9,0.66,6 Reclamaciones
JETT,COX,JETT COX,1278,2022,JustVDB,12.53,1,0.79,0.52,28 Reclamaciones
KAIRO,WARD,KAIRO WARD,1279,2022,InnovaTech,21.76,0.89,0.71,0.57,15 Reclamaciones
ZANDER,RICHARDSON,ZANDER RICHARDSON,1280,2022,Vatro,21.18,0.8,0.66,0.44,57 Reclamaciones
ANDRE,WATSON,ANDRE WATSON,1281,2022,InnovaTech,28.81,0.86,0.89,0.46,38 Reclamaciones
COHEN,BROOKS,COHEN BROOKS,1282,2022,SmartNet,22.41,0.8,0.89,0.57,28 Reclamaciones
CREW,CHAVEZ,CREW CHAVEZ,1283,2022,InnovaTech,21.31,0.93,0.74,0.45,46 Reclamaciones
HENDRIX,WOOD,HENDRIX WOOD,1284,2022,SmartNet,12.05,0.92,0.67,0.63,31 Reclamaciones
COLIN,JAMES,COLIN JAMES,1285,2022,Vatro,26.82,0.82,0.68,0.49,39 Reclamaciones
CHANCE,BENNET,CHANCE BENNET,1286,2022,CyberSafe,20.73,0.8,0.76,0.63,54 Reclamaciones
MALAKAI,GRAY,MALAKAI GRAY,1287,2022,CyberSafe,11.93,0.89,0.77,0.48,39 Reclamaciones
CLAYTON,MENDOZA,CLAYTON MENDOZA,1288,2022,SmartNet,21.30,0.76,0.87,0.59,85 Reclamaciones
DAXTON,RUIZ,DAXTON RUIZ,1289,2022,CloudConnect,20.15,0.88,0.73,0.63,44 Reclamaciones
MALCOLM,HUGHES,MALCOLM HUGHES,1290,2022,JustVDB,22.81,0.78,0.85,0.66,75 Reclamaciones
LENNOX,PRICE,LENNOX PRICE,1291,2022,InnovaTech,28.06,1,0.74,0.45,43 Reclamaciones
MARTIN,ALVAREZ,MARTIN ALVAREZ,1292,2022,InnovaTech,13.07,0.99,0.73,0.47,32 Reclamaciones
JADEN,CASTILLO,JADEN CASTILLO,1293,2022,CyberSafe,22.29,0.88,0.67,0.46,51 Reclamaciones
KAYSON,SANDERS,KAYSON SANDERS,1294,2022,AIBoost,22.24,0.78,0.86,0.49,34 Reclamaciones
BODHI,PATEL,BODHI PATEL,1295,2022,Vatro,20.95,0.86,0.79,0.61,39 Reclamaciones
FRANCISCO,MYERS,FRANCISCO MYERS,1296,2022,Vatro,11.77,0.84,0.86,0.63,19 Reclamaciones
CODY,LONG,CODY LONG,1297,2022,CloudConnect,22.37,0.76,0.73,0.62,67 Reclamaciones
ERICK,ROSS,ERICK ROSS,1298,2022,SmartNet,21.28,0.89,0.89,0.48,38 Reclamaciones
KAMERON,FOSTER,KAMERON FOSTER,1299,2022,CloudConnect,26.23,0.91,0.7,0.66,68 Reclamaciones
ATTICUS,JIMENEZ,ATTICUS JIMENEZ,1300,2022,AIBoost,20.56,0.78,0.86,0.69,62 Reclamaciones
DANTE,SMITH,DANTE SMITH,1301,2022,CloudConnect,21.56,0.97,0.83,0.49,89 Reclamaciones
JENSEN,JOHNSON,JENSEN JOHNSON,1302,2022,SmartNet,21.30,0.93,0.72,0.55,99 Reclamaciones
CRUZ,WILLIAMS,CRUZ WILLIAMS,1303,2022,InnovaTech,21.95,0.81,0.7,0.64,10 Reclamaciones
FINLEY,BROWN,FINLEY BROWN,1304,2022,InnovaTech,28.63,1,0.86,0.69,62 Reclamaciones
BRADY,JONES,BRADY JONES,1305,2022,CyberSafe,13.35,0.99,0.65,0.63,82 Reclamaciones
JOAQUIN,GARCIA,JOAQUIN GARCIA,1306,2022,Vatro,20.92,0.83,0.65,0.52,85 Reclamaciones
ANDERSON,MILLER,ANDERSON MILLER,1307,2022,AIBoost,10.91,0.87,0.84,0.7,72 Reclamaciones
GUNNER,DAVIS,GUNNER DAVIS,1308,2022,AIBoost,14.14,0.81,0.88,0.57,38 Reclamaciones
MUHAMMAD,RODRIGUEZ,MUHAMMAD RODRIGUEZ,1309,2022,InnovaTech,23.39,0.96,0.8,0.48,78 Reclamaciones
ZAYN,MARTINEZ,ZAYN MARTINEZ,1310,2022,InnovaTech,22.46,0.99,0.77,0.45,37 Reclamaciones
DEREK,HERNANDEZ,DEREK HERNANDEZ,1311,2022,CloudConnect,12.87,0.95,0.81,0.68,23 Reclamaciones
RAYMOND,LOPEZ,RAYMOND LOPEZ,1312,2022,SmartNet,9.77,0.85,0.65,0.48,26 Reclamaciones
KYLE,GONZALES,KYLE GONZALES,1313,2022,CloudConnect,13.51,0.94,0.68,0.62,74 Reclamaciones
ANGELO,WILSON,ANGELO WILSON,1314,2022,CloudConnect,14.05,0.99,0.77,0.6,99 Reclamaciones
REID,ANDERSON,REID ANDERSON,1315,2022,InnovaTech,24.83,0.93,0.71,0.48,84 Reclamaciones
SPENCER,THOMAS,SPENCER THOMAS,1316,2022,SmartNet,22.06,0.83,0.87,0.58,1 Reclamaciones
NICO,TAYLOR,NICO TAYLOR,1317,2022,JustVDB,20.33,0.78,0.79,0.43,93 Reclamaciones
JAYLEN,MOORE,JAYLEN MOORE,1318,2022,SmartNet,14.17,0.82,0.7,0.5,72 Reclamaciones
JAKE,JACKSON,JAKE JACKSON,1319,2022,CyberSafe,25.87,0.96,0.78,0.44,10 Reclamaciones
PRINCE,MARTIN,PRINCE MARTIN,1320,2022,CloudConnect,22.30,0.9,0.88,0.66,46 Reclamaciones
MANUEL,LEE,MANUEL LEE,1321,2022,CloudConnect,13.78,0.91,0.67,0.47,95 Reclamaciones
ALI,PEREZ,ALI PEREZ,1322,2022,AIBoost,20.32,0.92,0.68,0.6,85 Reclamaciones
GIDEON,THOMPSON,GIDEON THOMPSON,1323,2022,CyberSafe,24.22,0.79,0.86,0.61,85 Reclamaciones
STEPHEN,WHITE,STEPHEN WHITE,1324,2022,JustVDB,19.51,0.95,0.77,0.5,89 Reclamaciones
ELLIS,HARRIS,ELLIS HARRIS,1325,2022,CyberSafe,14.91,0.93,0.72,0.54,38 Reclamaciones
ORION,SANCHEZ,ORION SANCHEZ,1326,2022,SmartNet,27.61,0.84,0.79,0.69,46 Reclamaciones
RYLAN,CLARK,RYLAN CLARK,1327,2022,AIBoost,25.72,1,0.65,0.45,92 Reclamaciones
EDUARDO,RAMIREZ,EDUARDO RAMIREZ,1328,2022,Vatro,27.83,0.82,0.87,0.56,3 Reclamaciones
MARIO,LEWIS,MARIO LEWIS,1329,2022,AIBoost,7.93,0.91,0.82,0.58,33 Reclamaciones
RORY,ROBINSON,RORY ROBINSON,1330,2022,AIBoost,9.67,0.74,0.77,0.69,33 Reclamaciones
CRISTIAN,WALKER,CRISTIAN WALKER,1331,2022,SmartNet,21.31,0.79,0.7,0.68,41 Reclamaciones
ODIN,YOUNG,ODIN YOUNG,1332,2022,InnovaTech,15.52,0.94,0.87,0.53,64 Reclamaciones
TANNER,ALLEN,TANNER ALLEN,1333,2022,Vatro,20.72,0.92,0.74,0.51,76 Reclamaciones
JULIUS,KING,JULIUS KING,1334,2022,SmartNet,14.65,0.87,0.84,0.5,24 Reclamaciones
CALLUM,WRIGHT,CALLUM WRIGHT,1335,2022,SmartNet,25.07,0.78,0.74,0.66,17 Reclamaciones
SEAN,SCOTT,SEAN SCOTT,1336,2022,CyberSafe,20.82,0.87,0.9,0.45,64 Reclamaciones
KANE,TORRES,KANE TORRES,1337,2022,JustVDB,14.60,0.91,0.79,0.67,35 Reclamaciones
RICARDO,NGUYEN,RICARDO NGUYEN,1338,2022,InnovaTech,10.49,0.86,0.81,0.44,66 Reclamaciones
TRAVIS,HILL,TRAVIS HILL,1339,2022,CyberSafe,27.19,0.76,0.85,0.52,10 Reclamaciones
WADE,FLORES,WADE FLORES,1340,2022,CyberSafe,13.81,0.81,0.68,0.6,57 Reclamaciones
WARREN,GREEN,WARREN GREEN,1341,2022,Vatro,22.38,0.89,0.78,0.45,4 Reclamaciones
FERNANDO,ADAMS,FERNANDO ADAMS,1342,2022,CloudConnect,29.48,0.89,0.66,0.47,59 Reclamaciones
TITUS,NELSON,TITUS NELSON,1343,2022,JustVDB,21.09,0.79,0.81,0.64,75 Reclamaciones
LEONEL,BAKER,LEONEL BAKER,1344,2022,InnovaTech,23.10,0.89,0.7,0.5,68 Reclamaciones
EDWIN,HALL,EDWIN HALL,1345,2022,CyberSafe,13.25,0.9,0.69,0.5,61 Reclamaciones
CAIRO,RIVERA,CAIRO RIVERA,1346,2022,Vatro,22.56,0.79,0.84,0.63,46 Reclamaciones
CORBIN,CAMPBELL,CORBIN CAMPBELL,1347,2022,CloudConnect,21.43,0.97,0.74,0.48,100 Reclamaciones
DAKOTA,MITCHELL,DAKOTA MITCHELL,1348,2022,CyberSafe,20.08,0.87,0.68,0.67,4 Reclamaciones
ISMAEL,CARTER,ISMAEL CARTER,1349,2022,CyberSafe,22.38,0.73,0.86,0.46,32 Reclamaciones
COLSON,ROBERTS,COLSON ROBERTS,1350,2022,CyberSafe,24.78,0.97,0.68,0.64,85 Reclamaciones
KILLIAN,GOMEZ,KILLIAN GOMEZ,1351,2022,SmartNet,20.65,0.76,0.73,0.58,76 Reclamaciones
MAJOR,PHILLIPS,MAJOR PHILLIPS,1352,2022,JustVDB,26.45,0.75,0.85,0.65,50 Reclamaciones
TATE,EVANS,TATE EVANS,1353,2022,CloudConnect,22.40,0.82,0.73,0.47,50 Reclamaciones
GIANNI,TURNER,GIANNI TURNER,1354,2022,InnovaTech,19.99,0.85,0.75,0.43,83 Reclamaciones
ELIAN,DIAZ,ELIAN DIAZ,1355,2022,AIBoost,22.07,0.89,0.88,0.43,97 Reclamaciones
REMY,PARKER,REMY PARKER,1356,2022,SmartNet,13.80,0.87,0.9,0.49,11 Reclamaciones
LAWSON,CRUZ,LAWSON CRUZ,1357,2022,SmartNet,25.63,0.82,0.76,0.66,88 Reclamaciones
NIKO,EDWARDS,NIKO EDWARDS,1358,2022,AIBoost,10.36,0.87,0.78,0.63,98 Reclamaciones
NASIR,COLLINS,NASIR COLLINS,1359,2022,JustVDB,9.40,0.9,0.67,0.49,43 Reclamaciones
KADE,REYES,KADE REYES,1360,2022,Vatro,20.54,0.97,0.84,0.46,48 Reclamaciones
ARMANI,STEWART,ARMANI STEWART,1361,2022,JustVDB,22.11,0.87,0.86,0.58,38 Reclamaciones
EZEQUIEL,MORRIS,EZEQUIEL MORRIS,1362,2022,Vatro,15.62,0.83,0.86,0.67,94 Reclamaciones
MARSHALL,MORALES,MARSHALL MORALES,1363,2022,Vatro,13.86,0.98,0.71,0.53,46 Reclamaciones
HECTOR,MURPHY,HECTOR MURPHY,1364,2022,SmartNet,23.03,0.77,0.83,0.58,29 Reclamaciones
DESMOND,COOK,DESMOND COOK,1365,2022,InnovaTech,9.97,1,0.67,0.52,42 Reclamaciones
KASON,ROGERS,KASON ROGERS,1366,2022,CloudConnect,27.72,0.86,0.87,0.58,67 Reclamaciones
GARRETT,GUTIERREZ,GARRETT GUTIERREZ,1367,2022,CyberSafe,21.88,0.92,0.65,0.67,47 Reclamaciones
JARED,ORTIZ,JARED ORTIZ,1368,2022,InnovaTech,23.31,0.74,0.82,0.55,57 Reclamaciones
CYRUS,MORGAN,CYRUS MORGAN,1369,2022,CloudConnect,20.46,0.83,0.73,0.46,63 Reclamaciones
RUSSELL,COOPER,RUSSELL COOPER,1370,2022,CyberSafe,23.64,0.93,0.9,0.49,76 Reclamaciones
CESAR,PETERSON,CESAR PETERSON,1371,2022,CyberSafe,12.20,0.8,0.7,0.58,89 Reclamaciones
TYSON,BAILEY,TYSON BAILEY,1372,2022,CyberSafe,9.89,0.94,0.72,0.45,71 Reclamaciones
MALIK,REED,MALIK REED,1373,2022,Vatro,21.51,0.82,0.87,0.47,57 Reclamaciones
DONOVAN,KELLY,DONOVAN KELLY,1374,2022,AIBoost,22.08,0.81,0.88,0.46,76 Reclamaciones
JAXTON,HOWARD,JAXTON HOWARD,1375,2022,AIBoost,14.97,0.86,0.68,0.5,35 Reclamaciones
CADE,RAMOS,CADE RAMOS,1376,2022,InnovaTech,13.69,0.78,0.77,0.47,52 Reclamaciones
ROMEO,KIM,ROMEO KIM,1377,2022,Vatro,22.54,0.91,0.7,0.62,93 Reclamaciones
NEHEMIAH,COX,NEHEMIAH COX,1378,2022,AIBoost,14.05,0.79,0.89,0.68,76 Reclamaciones
SERGIO,WARD,SERGIO WARD,1379,2022,CyberSafe,9.94,0.75,0.83,0.66,25 Reclamaciones
IKER,RICHARDSON,IKER RICHARDSON,1380,2022,AIBoost,9.99,0.88,0.9,0.6,58 Reclamaciones
CAIDEN,WATSON,CAIDEN WATSON,1381,2022,CloudConnect,12.16,0.78,0.66,0.65,59 Reclamaciones
JAY,BROOKS,JAY BROOKS,1382,2022,JustVDB,24.57,1,0.9,0.61,29 Reclamaciones
PABLO,CHAVEZ,PABLO CHAVEZ,1383,2022,SmartNet,26.22,0.89,0.7,0.7,45 Reclamaciones
DEVIN,WOOD,DEVIN WOOD,1384,2022,SmartNet,21.48,0.81,0.74,0.46,91 Reclamaciones
JEFFREY,JAMES,JEFFREY JAMES,1385,2022,CloudConnect,19.96,0.75,0.89,0.66,79 Reclamaciones
OTTO,BENNET,OTTO BENNET,1386,2022,Vatro,24.16,0.98,0.81,0.49,79 Reclamaciones
KAMARI,GRAY,KAMARI GRAY,1387,2022,AIBoost,23.68,0.74,0.9,0.68,86 Reclamaciones
RONIN,MENDOZA,RONIN MENDOZA,1388,2022,Vatro,21.83,0.73,0.74,0.46,5 Reclamaciones
JOHNNY,RUIZ,JOHNNY RUIZ,1389,2022,CyberSafe,27.57,0.95,0.68,0.68,69 Reclamaciones
CLARK,HUGHES,CLARK HUGHES,1390,2022,CyberSafe,12.39,0.74,0.75,0.64,43 Reclamaciones
ARI,PRICE,ARI PRICE,1391,2022,SmartNet,19.65,0.73,0.7,0.53,91 Reclamaciones
MARCO,ALVAREZ,MARCO ALVAREZ,1392,2022,CloudConnect,21.87,0.81,0.81,0.61,30 Reclamaciones
EDGAR,CASTILLO,EDGAR CASTILLO,1393,2022,InnovaTech,21.67,0.74,0.77,0.66,76 Reclamaciones
BOWEN,SANDERS,BOWEN SANDERS,1394,2022,CloudConnect,23.52,0.8,0.88,0.47,89 Reclamaciones
JAIDEN,PATEL,JAIDEN PATEL,1395,2022,AIBoost,22.06,0.78,0.89,0.57,5 Reclamaciones
GRADY,MYERS,GRADY MYERS,1396,2022,AIBoost,22.46,0.75,0.74,0.47,54 Reclamaciones
ZAYNE,LONG,ZAYNE LONG,1397,2022,JustVDB,9.48,0.79,0.89,0.52,18 Reclamaciones
SULLIVAN,ROSS,SULLIVAN ROSS,1398,2022,CyberSafe,21.43,0.8,0.66,0.68,90 Reclamaciones
JAYCEON,FOSTER,JAYCEON FOSTER,1399,2022,SmartNet,22.67,0.82,0.87,0.55,47 Reclamaciones
STERLING,JIMENEZ,STERLING JIMENEZ,1400,2022,SmartNet,22.03,0.78,0.72,0.57,20 Reclamaciones
ANDY,SMITH,ANDY SMITH,1401,2022,JustVDB,24.55,0.8,0.88,0.64,43 Reclamaciones
CONOR,JOHNSON,CONOR JOHNSON,1402,2022,JustVDB,27.46,0.77,0.82,0.57,83 Reclamaciones
RAIDEN,WILLIAMS,RAIDEN WILLIAMS,1403,2022,CloudConnect,25.33,0.89,0.74,0.68,65 Reclamaciones
ROYAL,BROWN,ROYAL BROWN,1404,2022,SmartNet,8.51,0.87,0.81,0.66,0 Reclamaciones
ROYCE,JONES,ROYCE JONES,1405,2022,Vatro,23.61,0.8,0.79,0.53,6 Reclamaciones
SOLOMON,GARCIA,SOLOMON GARCIA,1406,2022,AIBoost,24.56,0.79,0.85,0.43,88 Reclamaciones
TREVOR,MILLER,TREVOR MILLER,1407,2022,SmartNet,25.59,0.87,0.65,0.63,35 Reclamaciones
WINSTON,DAVIS,WINSTON DAVIS,1408,2022,AIBoost,22.66,0.8,0.66,0.47,14 Reclamaciones
EMANUEL,RODRIGUEZ,EMANUEL RODRIGUEZ,1409,2022,InnovaTech,23.07,0.78,0.71,0.66,73 Reclamaciones
FINNEGAN,MARTINEZ,FINNEGAN MARTINEZ,1410,2022,CyberSafe,13.59,0.79,0.76,0.45,10 Reclamaciones
PEDRO,HERNANDEZ,PEDRO HERNANDEZ,1411,2022,SmartNet,12.42,0.97,0.65,0.61,61 Reclamaciones
LUCIANO,LOPEZ,LUCIANO LOPEZ,1412,2022,CyberSafe,25.54,0.82,0.86,0.66,14 Reclamaciones
HARVEY,GONZALES,HARVEY GONZALES,1413,2022,CloudConnect,14.30,0.91,0.77,0.57,78 Reclamaciones
FRANKLIN,WILSON,FRANKLIN WILSON,1414,2022,CloudConnect,21.86,0.76,0.76,0.54,63 Reclamaciones
NOEL,ANDERSON,NOEL ANDERSON,1415,2022,SmartNet,21.81,0.98,0.67,0.6,28 Reclamaciones
TROY,THOMAS,TROY THOMAS,1416,2022,CloudConnect,20.86,0.86,0.82,0.69,41 Reclamaciones
PRINCETON,TAYLOR,PRINCETON TAYLOR,1417,2022,Vatro,21.02,0.9,0.67,0.49,43 Reclamaciones
JOHNATHAN,MOORE,JOHNATHAN MOORE,1418,2022,JustVDB,12.05,0.9,0.88,0.43,40 Reclamaciones
ERIK,JACKSON,ERIK JACKSON,1419,2022,InnovaTech,20.97,0.77,0.85,0.52,44 Reclamaciones
FABIAN,MARTIN,FABIAN MARTIN,1420,2022,SmartNet,7.15,1,0.72,0.63,57 Reclamaciones
OAKLEY,LEE,OAKLEY LEE,1421,2022,SmartNet,12.75,0.91,0.68,0.57,5 Reclamaciones
RHYS,PEREZ,RHYS PEREZ,1422,2022,Vatro,22.00,0.81,0.86,0.43,21 Reclamaciones
PORTER,THOMPSON,PORTER THOMPSON,1423,2022,CyberSafe,12.90,0.85,0.81,0.59,82 Reclamaciones
HUGO,WHITE,HUGO WHITE,1424,2022,AIBoost,13.71,0.84,0.76,0.65,32 Reclamaciones
FRANK,HARRIS,FRANK HARRIS,1425,2022,SmartNet,13.86,0.99,0.74,0.48,62 Reclamaciones
DAMON,SANCHEZ,DAMON SANCHEZ,1426,2022,Vatro,20.25,0.81,0.85,0.54,24 Reclamaciones
KENDRICK,CLARK,KENDRICK CLARK,1427,2022,CyberSafe,13.51,0.74,0.68,0.48,71 Reclamaciones
MATHIAS,RAMIREZ,MATHIAS RAMIREZ,1428,2022,AIBoost,12.20,0.78,0.83,0.43,63 Reclamaciones
MILAN,LEWIS,MILAN LEWIS,1429,2022,CloudConnect,23.79,0.95,0.73,0.56,73 Reclamaciones
PEYTON,ROBINSON,PEYTON ROBINSON,1430,2022,AIBoost,13.33,0.84,0.68,0.66,2 Reclamaciones
WILDER,WALKER,WILDER WALKER,1431,2022,AIBoost,28.64,0.99,0.74,0.47,38 Reclamaciones
CALLAN,YOUNG,CALLAN YOUNG,1432,2022,InnovaTech,22.32,0.87,0.81,0.66,23 Reclamaciones
GREGORY,ALLEN,GREGORY ALLEN,1433,2022,AIBoost,27.94,0.96,0.69,0.67,6 Reclamaciones
SETH,KING,SETH KING,1434,2022,SmartNet,13.80,0.76,0.83,0.49,9 Reclamaciones
MATTHIAS,WRIGHT,MATTHIAS WRIGHT,1435,2022,Vatro,22.93,0.83,0.71,0.47,49 Reclamaciones
BRIGGS,SCOTT,BRIGGS SCOTT,1436,2022,JustVDB,20.67,0.87,0.7,0.7,35 Reclamaciones
IBRAHIM,TORRES,IBRAHIM TORRES,1437,2022,InnovaTech,23.71,0.77,0.86,0.66,48 Reclamaciones
ROBERTO,NGUYEN,ROBERTO NGUYEN,1438,2022,JustVDB,15.88,0.91,0.67,0.52,92 Reclamaciones
CONNER,HILL,CONNER HILL,1439,2022,InnovaTech,13.86,0.74,0.75,0.55,27 Reclamaciones
QUINN,FLORES,QUINN FLORES,1440,2022,AIBoost,24.14,0.97,0.7,0.48,19 Reclamaciones
KASHTON,GREEN,KASHTON GREEN,1441,2022,Vatro,8.76,0.96,0.65,0.68,31 Reclamaciones
SAGE,ADAMS,SAGE ADAMS,1442,2022,JustVDB,21.98,0.79,0.81,0.67,32 Reclamaciones
SANTINO,NELSON,SANTINO NELSON,1443,2022,Vatro,10.41,0.73,0.83,0.67,70 Reclamaciones
KOLTON,BAKER,KOLTON BAKER,1444,2022,InnovaTech,17.04,0.8,0.76,0.47,27 Reclamaciones
ALIJAH,HALL,ALIJAH HALL,1445,2022,SmartNet,23.80,0.97,0.89,0.5,96 Reclamaciones
DOMINICK,RIVERA,DOMINICK RIVERA,1446,2022,CyberSafe,15.15,0.78,0.73,0.68,28 Reclamaciones
ZYAIRE,CAMPBELL,ZYAIRE CAMPBELL,1447,2022,Vatro,8.91,0.97,0.67,0.67,15 Reclamaciones
APOLLO,MITCHELL,APOLLO MITCHELL,1448,2022,JustVDB,21.02,0.78,0.79,0.58,98 Reclamaciones
KYLO,CARTER,KYLO CARTER,1449,2022,Vatro,13.79,0.89,0.83,0.6,3 Reclamaciones
REED,ROBERTS,REED ROBERTS,1450,2022,JustVDB,15.13,0.95,0.72,0.67,93 Reclamaciones
PHILIP,GOMEZ,PHILIP GOMEZ,1451,2022,InnovaTech,11.64,0.77,0.83,0.46,73 Reclamaciones
KIAN,PHILLIPS,KIAN PHILLIPS,1452,2022,SmartNet,11.09,0.78,0.6,0.6,79 Reclamaciones
SHAWN,EVANS,SHAWN EVANS,1453,2022,CyberSafe,22.38,0.97,0.32,0.69,91 Reclamaciones
KAISON,TURNER,KAISON TURNER,1454,2022,SmartNet,13.79,0.92,0.67,0.7,15 Reclamaciones
LEONIDAS,DIAZ,LEONIDAS DIAZ,1455,2022,JustVDB,21.15,0.89,0.88,0.82,77 Reclamaciones
AYAAN,PARKER,AYAAN PARKER,1456,2022,Vatro,28.83,0.95,0.85,0.91,68 Reclamaciones
