Nombre_Empleado,Apellido_Empleado,Nombre_Completo,Genero,Cargo,Nivel cargo,Edad ,Ubicacion,Modalidad, Salario , Estado Civil , Telefono , Contrato Indefinido 
SAGE,ADAMS,SAGE ADAMS,M,Desarrollador de software II,Senior,44,"Zurich, Suiza",Presencial,"$29,000",S,9522653,No
SANTINO,NELSON,SANTINO NELSON,M,Desarrollador de software II,Senior,41,"Touluse, Francia",Hibrido,"$58,000",C,9237095,Si
KOLTON,BAKER,KOLTON BAKER,M,Desarrollador de software II,Senior,52,"Ginebra, Suiza",Teletrabajo,"$30,000",C,9558869,Si
ALIJAH,HALL,ALIJAH HALL,M,Desarrollador de software II,Senior,52,"Zurich, Suiza",Teletrabajo,"$28,000",S,9339968,Si
DOMINICK,RIVERA,DOMINICK RIVERA,M,Desarrollador de software II,Senior,55,"Basilea, Suiza",Presencial,"$33,000",S,8702687,No
ZYAIRE,CAMPBELL,ZYAIRE CAMPBELL,M,Desarrollador de software II,Senior,48,"Touluse, Francia",Presencial,"$58,000",S,8816554,Si
APOLLO,MITCHELL,APOLLO MITCHELL,M,Desarrollador de software II,Senior,37,"Ginebra, Suiza",Presencial,"$52,000",C,9278862,Si
KYLO,CARTER,KYLO CARTER,M,Desarrollador de software II,Senior,37,"Madrid, España",Presencial,"$47,000",C,9786342,No
REED,ROBERTS,REED ROBERTS,M,Desarrollador de software II,Senior,50,"Zurich, Suiza",Presencial,"$50,000",C,9599568,Si
PHILIP,GOMEZ,PHILIP GOMEZ,M,Ingeniero de software II,Semi,28,"Basilea, Suiza",Presencial,"$20,000",O,9376586,Si
KIAN,PHILLIPS,KIAN PHILLIPS,M,Desarrollador de software I,Semi,30,"Madrid, España",Hibrido,"$15,000",C,9671492,Si
SHAWN,EVANS,SHAWN EVANS,M,Ingeniero de software I,Semi,28,"Basilea, Suiza",Teletrabajo,"$17,000",S,8683071,No
KAISON,TURNER,KAISON TURNER,M,Desarrollador de software II,Semi,28,"Basilea, Suiza",Hibrido,"$19,000",C,9215480,Si
LEONIDAS,DIAZ,LEONIDAS DIAZ,M,Ingeniero de software I,Semi,29,"Ginebra, Suiza",Teletrabajo,"$17,000",O,9495119,Si
AYAAN,PARKER,AYAAN PARKER,M,Ingeniero de software I,Semi,34,"Zurich, Suiza",Presencial,"$15,000",S,9878069,Si
LUCCA,CRUZ,LUCCA CRUZ,M,Desarrollador de software II,Semi,33,"Basilea, Suiza",Teletrabajo,"$18,000",O,9854747,Si
MEMPHIS,EDWARDS,MEMPHIS EDWARDS,M,Ingeniero de software II,Semi,29,"Ginebra, Suiza",Hibrido,"$18,000",O,9678136,Si
FORD,COLLINS,FORD COLLINS,M,Ingeniero de software I,Semi,35,"Touluse, Francia",Hibrido,"$19,000",O,9615718,No
BAYLOR,REYES,BAYLOR REYES,M,Especialista de Software,Semi,25,"Zurich, Suiza",Presencial,"$18,000",S,9570787,Si
KYSON,STEWART,KYSON STEWART,M,Ingeniero de software I,Semi,31,"Touluse, Francia",Presencial,"$18,000",C,8739306,No
URIEL,MORRIS,URIEL MORRIS,M,Ingeniero de software II,Semi,32,"Zurich, Suiza",Teletrabajo,"$16,000",C,8915418,No
ALLEN,MORALES,ALLEN MORALES,M,Analista de Software,Semi,34,"Zurich, Suiza",Hibrido,"$16,000",O,9580768,Si
COLLIN,MURPHY,COLLIN MURPHY,M,Desarrollador de software I,Semi,26,"Lyon, Francia",Teletrabajo,"$15,000",S,8930439,No
RUBEN,COOK,RUBEN COOK,M,Analista de Software,Semi,30,"Basilea, Suiza",Hibrido,"$15,000",O,9814868,No
ARCHIE,ROGERS,ARCHIE ROGERS,M,Especialista de Software,Semi,33,"Madrid, España",Hibrido,"$19,000",C,9184543,Si
DALTON,GUTIERREZ,DALTON GUTIERREZ,M,Analista de Software,Semi,26,"Zurich, Suiza",Hibrido,"$17,000",C,9783962,No
ESTEBAN,ORTIZ,ESTEBAN ORTIZ,M,Desarrollador de software I,Semi,33,"Madrid, España",Hibrido,"$19,000",C,9094256,Si
ADAN,MORGAN,ADAN MORGAN,M,Desarrollador de software I,Semi,31,"Lyon, Francia",Hibrido,"$20,000",C,9393902,No
FORREST,COOPER,FORREST COOPER,M,Ingeniero de software II,Semi,26,"Madrid, España",Presencial,"$18,000",S,9149869,Si
ALONZO,PETERSON,ALONZO PETERSON,M,Ingeniero de software I,Semi,29,"Lyon, Francia",Teletrabajo,"$19,000",S,9634566,No
ISAIAS,BAILEY,ISAIAS BAILEY,M,Ingeniero de software II,Semi,31,"Touluse, Francia",Presencial,"$16,000",S,9003712,Si
LELAND,REED,LELAND REED,M,Ingeniero de software I,Semi,30,"Ginebra, Suiza",Hibrido,"$16,000",C,9666745,Si
JASE,KELLY,JASE KELLY,M,Ingeniero de software I,Semi,26,"Basilea, Suiza",Teletrabajo,"$17,000",S,9737651,No
DAX,HOWARD,DAX HOWARD,M,Ingeniero de software II,Semi,27,"Ginebra, Suiza",Teletrabajo,"$19,000",O,9073396,Si
KASEN,RAMOS,KASEN RAMOS,M,Ingeniero de software I,Semi,28,"Lyon, Francia",Teletrabajo,"$17,000",C,8926605,Si
GAGE,KIM,GAGE KIM,M,Analista de Software,Semi,26,"Lyon, Francia",Teletrabajo,"$17,000",S,9327981,Si
KAMDEN,COX,KAMDEN COX,M,Desarrollador de software I,Semi,26,"Madrid, España",Teletrabajo,"$17,000",O,9183230,No
MARCOS,WARD,MARCOS WARD,M,Desarrollador de software II,Semi,33,"Basilea, Suiza",Hibrido,"$17,000",O,9387479,No
JAMISON,RICHARDSON,JAMISON RICHARDSON,M,Ingeniero de software II,Semi,25,"Touluse, Francia",Presencial,"$19,000",O,9673825,Si
FRANCIS,WATSON,FRANCIS WATSON,M,Ingeniero de software II,Semi,35,"Basilea, Suiza",Presencial,"$20,000",O,9179715,No
HANK,BROOKS,HANK BROOKS,M,Desarrollador de software II,Semi,28,"Lyon, Francia",Presencial,"$20,000",S,9101674,No
ALEXIS,CHAVEZ,ALEXIS CHAVEZ,M,Analista de Software,Semi,34,"Zurich, Suiza",Presencial,"$19,000",O,9221272,Si
TRIPP,WOOD,TRIPP WOOD,M,Desarrollador de software I,Semi,33,"Zurich, Suiza",Teletrabajo,"$16,000",C,9562039,No
FREDERICK,JAMES,FREDERICK JAMES,M,Ingeniero de software II,Semi,27,"Basilea, Suiza",Hibrido,"$19,000",S,9691840,Si
JONAS,BENNET,JONAS BENNET,M,Ingeniero de software I,Semi,31,"Basilea, Suiza",Teletrabajo,"$17,000",C,9721291,Si
STETSON,GRAY,STETSON GRAY,M,Analista de Software,Semi,27,"Lyon, Francia",Presencial,"$16,000",S,9010577,No
CASSIUS,MENDOZA,CASSIUS MENDOZA,M,Desarrollador de software I,Semi,33,"Zurich, Suiza",Presencial,"$20,000",C,9445302,No
IZAIAH,RUIZ,IZAIAH RUIZ,M,Analista de Software,Semi,27,"Madrid, España",Presencial,"$18,000",C,8678211,No
EDEN,HUGHES,EDEN HUGHES,M,Desarrollador de software II,Semi,31,"Lyon, Francia",Hibrido,"$18,000",C,9304066,No
MAXIMILIAN,PRICE,MAXIMILIAN PRICE,M,Desarrollador de software II,Semi,31,"Ginebra, Suiza",Teletrabajo,"$15,000",O,9434015,No
ROCCO,ALVAREZ,ROCCO ALVAREZ,M,Ingeniero de software II,Semi,32,"Lyon, Francia",Teletrabajo,"$16,000",S,9551520,Si
TATUM,CASTILLO,TATUM CASTILLO,M,Analista de Software,Semi,29,"Touluse, Francia",Presencial,"$19,000",S,9796720,No
KEEGAN,SANDERS,KEEGAN SANDERS,M,Ingeniero de software I,Semi,26,"Zurich, Suiza",Hibrido,"$18,000",C,9133791,No
AZIEL,PATEL,AZIEL PATEL,M,Especialista de Software,Semi,35,"Zurich, Suiza",Presencial,"$16,000",C,8786502,No
MOSES,MYERS,MOSES MYERS,M,Ingeniero de software II,Semi,27,"Basilea, Suiza",Teletrabajo,"$19,000",O,9104563,No
BRUCE,LONG,BRUCE LONG,M,Ingeniero de software II,Semi,26,"Madrid, España",Presencial,"$18,000",O,9625147,Si
LEWIS,ROSS,LEWIS ROSS,M,Especialista de Software,Semi,35,"Madrid, España",Hibrido,"$16,000",O,8953003,Si
BRAYLEN,FOSTER,BRAYLEN FOSTER,M,Ingeniero de software I,Semi,31,"Ginebra, Suiza",Teletrabajo,"$20,000",O,8705081,No
OMARI,JIMENEZ,OMARI JIMENEZ,M,Analista de Software,Semi,27,"Lyon, Francia",Teletrabajo,"$20,000",C,9520010,Si
MACK,SMITH,MACK SMITH,M,Especialista de Software,Semi,32,"Madrid, España",Presencial,"$15,000",O,9757516,No
AUGUSTUS,JOHNSON,AUGUSTUS JOHNSON,M,Ingeniero de software I,Semi,28,"Lyon, Francia",Presencial,"$20,000",C,9829388,Si
ENRIQUE,WILLIAMS,ENRIQUE WILLIAMS,M,Ingeniero de software II,Semi,31,"Basilea, Suiza",Presencial,"$20,000",C,8767146,No
ARMANDO,BROWN,ARMANDO BROWN,M,Ingeniero de software I,Semi,27,"Lyon, Francia",Presencial,"$17,000",O,9081009,No
PIERCE,JONES,PIERCE JONES,M,Desarrollador de software II,Semi,32,"Basilea, Suiza",Presencial,"$20,000",C,9069140,Si
MOISES,GARCIA,MOISES GARCIA,M,Desarrollador de software II,Semi,32,"Ginebra, Suiza",Presencial,"$19,000",C,8910487,Si
ASA,MILLER,ASA MILLER,M,Ingeniero de software II,Semi,27,"Zurich, Suiza",Hibrido,"$19,000",C,9184909,No
SHANE,DAVIS,SHANE DAVIS,M,Ingeniero de software I,Semi,30,"Basilea, Suiza",Teletrabajo,"$15,000",O,8680212,No
EMMITT,RODRIGUEZ,EMMITT RODRIGUEZ,M,Desarrollador de software II,Semi,35,"Basilea, Suiza",Hibrido,"$16,000",O,8808014,Si
SOREN,MARTINEZ,SOREN MARTINEZ,M,Especialista de Software,Semi,29,"Lyon, Francia",Teletrabajo,"$19,000",S,8724427,No
DORIAN,HERNANDEZ,DORIAN HERNANDEZ,M,Desarrollador de software I,Semi,27,"Ginebra, Suiza",Presencial,"$16,000",O,8960541,Si
KEANU,LOPEZ,KEANU LOPEZ,M,Analista de Software,Semi,34,"Lyon, Francia",Teletrabajo,"$15,000",C,9279657,No
ZAIDEN,GONZALES,ZAIDEN GONZALES,M,Desarrollador de software II,Semi,28,"Zurich, Suiza",Hibrido,"$17,000",C,9183247,Si
RAPHAEL,WILSON,RAPHAEL WILSON,M,Analista de Software,Semi,25,"Ginebra, Suiza",Hibrido,"$15,000",S,9073409,No
DEACON,ANDERSON,DEACON ANDERSON,M,Ingeniero de software II,Semi,26,"Basilea, Suiza",Presencial,"$15,000",S,9335036,Si
ABDIEL,THOMAS,ABDIEL THOMAS,M,Desarrollador de software I,Semi,26,"Touluse, Francia",Presencial,"$20,000",O,9603856,No
KIERAN,TAYLOR,KIERAN TAYLOR,M,Desarrollador de software I,Semi,33,"Basilea, Suiza",Teletrabajo,"$18,000",C,9095529,Si
PHILLIP,MOORE,PHILLIP MOORE,M,Desarrollador de software II,Semi,30,"Ginebra, Suiza",Hibrido,"$17,000",C,9672400,No
RYLAND,JACKSON,RYLAND JACKSON,M,Ingeniero de software II,Semi,27,"Ginebra, Suiza",Teletrabajo,"$17,000",C,9427108,No
ZACHARIAH,MARTIN,ZACHARIAH MARTIN,M,Ingeniero de software I,Semi,31,"Touluse, Francia",Hibrido,"$15,000",S,9202929,Si
CASEY,LEE,CASEY LEE,M,Especialista de Software,Semi,33,"Touluse, Francia",Hibrido,"$16,000",O,9177633,Si
ZAIRE,PEREZ,ZAIRE PEREZ,M,Desarrollador de software I,Semi,32,"Madrid, España",Hibrido,"$15,000",O,9501138,Si
ALBERT,THOMPSON,ALBERT THOMPSON,M,Analista de Software,Semi,33,"Zurich, Suiza",Hibrido,"$16,000",C,9562857,No
BAKER,WHITE,BAKER WHITE,M,Ingeniero de software II,Semi,33,"Basilea, Suiza",Hibrido,"$16,000",O,9018075,Si
COREY,HARRIS,COREY HARRIS,M,Ingeniero de software I,Semi,32,"Lyon, Francia",Presencial,"$19,000",S,9293095,No
KYLAN,SANCHEZ,KYLAN SANCHEZ,M,Ingeniero de software I,Semi,30,"Basilea, Suiza",Teletrabajo,"$19,000",S,9823332,Si
DENVER,CLARK,DENVER CLARK,M,Analista de Software,Semi,27,"Touluse, Francia",Presencial,"$20,000",O,9193414,No
GUNNAR,RAMIREZ,GUNNAR RAMIREZ,M,Desarrollador de software I,Semi,30,"Basilea, Suiza",Hibrido,"$18,000",C,8894332,No
JAYSON,LEWIS,JAYSON LEWIS,M,Ingeniero de software I,Semi,25,"Touluse, Francia",Teletrabajo,"$15,000",C,9566547,Si
DREW,ROBINSON,DREW ROBINSON,M,Ingeniero de software II,Semi,34,"Touluse, Francia",Teletrabajo,"$15,000",O,9530884,No
CALLEN,WALKER,CALLEN WALKER,M,Analista de Software,Semi,26,"Zurich, Suiza",Teletrabajo,"$17,000",C,8835956,No
JASIAH,YOUNG,JASIAH YOUNG,M,Ingeniero de software I,Semi,29,"Lyon, Francia",Teletrabajo,"$19,000",O,8741524,No
DRAKE,ALLEN,DRAKE ALLEN,M,Desarrollador de software I,Semi,35,"Zurich, Suiza",Teletrabajo,"$17,000",S,8867668,No
KANNON,KING,KANNON KING,M,Desarrollador de software II,Semi,27,"Touluse, Francia",Hibrido,"$20,000",C,9852575,Si
BRAYLON,WRIGHT,BRAYLON WRIGHT,M,Desarrollador de software II,Semi,32,"Lyon, Francia",Presencial,"$20,000",S,9226941,No
SONNY,SCOTT,SONNY SCOTT,M,Ingeniero de software II,Semi,28,"Touluse, Francia",Presencial,"$15,000",C,9530487,No
BO,TORRES,BO TORRES,M,Ingeniero de software I,Semi,26,"Madrid, España",Presencial,"$15,000",O,9076397,Si
MOSHE,NGUYEN,MOSHE NGUYEN,M,Desarrollador de software II,Semi,29,"Madrid, España",Presencial,"$15,000",C,8676046,No
HUXLEY,HILL,HUXLEY HILL,M,Desarrollador de software II,Semi,26,"Lyon, Francia",Teletrabajo,"$16,000",S,9701070,No
QUENTIN,FLORES,QUENTIN FLORES,M,Analista de Software,Semi,31,"Ginebra, Suiza",Hibrido,"$17,000",O,8979346,Si
ROWEN,GREEN,ROWEN GREEN,M,Desarrollador de software I,Semi,35,"Basilea, Suiza",Teletrabajo,"$16,000",S,9392014,No
SANTANA,ADAMS,SANTANA ADAMS,M,Analista de Software,Semi,31,"Lyon, Francia",Presencial,"$15,000",O,9075006,Si
CANNON,NELSON,CANNON NELSON,M,Analista de Software,Semi,29,"Touluse, Francia",Presencial,"$17,000",O,8923520,No
KENZO,BAKER,KENZO BAKER,M,Analista de Software,Semi,31,"Basilea, Suiza",Presencial,"$17,000",C,9051603,No
WELLS,HALL,WELLS HALL,M,Desarrollador de software I,Semi,33,"Lyon, Francia",Hibrido,"$19,000",O,9580253,Si
JULIO,RIVERA,JULIO RIVERA,M,Desarrollador de software I,Semi,33,"Madrid, España",Teletrabajo,"$18,000",S,9644060,No
NIKOLAI,CAMPBELL,NIKOLAI CAMPBELL,M,Analista de Software,Semi,35,"Touluse, Francia",Teletrabajo,"$19,000",O,9086733,No
CONRAD,MITCHELL,CONRAD MITCHELL,M,Analista de Software,Semi,30,"Touluse, Francia",Presencial,"$16,000",S,9256085,Si
JALEN,CARTER,JALEN CARTER,M,Ingeniero de software I,Semi,35,"Madrid, España",Hibrido,"$18,000",C,9581892,No
MAKAI,ROBERTS,MAKAI ROBERTS,M,Especialista de Software,Semi,29,"Madrid, España",Presencial,"$15,000",O,9611202,No
BENSON,GOMEZ,BENSON GOMEZ,M,Especialista de Software,Semi,30,"Basilea, Suiza",Teletrabajo,"$15,000",O,9765070,No
DERRICK,PHILLIPS,DERRICK PHILLIPS,M,Desarrollador de software II,Semi,33,"Ginebra, Suiza",Presencial,"$15,000",O,9799064,Si
GERARDO,EVANS,GERARDO EVANS,M,Especialista de Software,Semi,31,"Zurich, Suiza",Hibrido,"$15,000",O,9651742,Si
DAVIS,TURNER,DAVIS TURNER,M,Desarrollador de software I,Semi,28,"Touluse, Francia",Teletrabajo,"$20,000",C,9086192,No
ABRAM,DIAZ,ABRAM DIAZ,M,Ingeniero de software II,Semi,29,"Basilea, Suiza",Teletrabajo,"$18,000",O,8929338,No
MOHAMED,PARKER,MOHAMED PARKER,M,Ingeniero de software II,Semi,31,"Touluse, Francia",Presencial,"$15,000",O,9517891,Si
RONALD,CRUZ,RONALD CRUZ,M,Desarrollador de software I,Semi,34,"Lyon, Francia",Presencial,"$20,000",S,9370598,Si
RAUL,EDWARDS,RAUL EDWARDS,M,Analista de Software,Semi,35,"Zurich, Suiza",Presencial,"$18,000",S,8930018,No
ARJUN,COLLINS,ARJUN COLLINS,M,Desarrollador de software II,Semi,27,"Ginebra, Suiza",Presencial,"$20,000",O,9235751,No
DEXTER,REYES,DEXTER REYES,M,Ingeniero de software I,Semi,28,"Basilea, Suiza",Presencial,"$18,000",C,9591434,No
KAYSEN,STEWART,KAYSEN STEWART,M,Ingeniero de software II,Semi,26,"Ginebra, Suiza",Presencial,"$17,000",S,8684445,Si
JAIME,MORRIS,JAIME MORRIS,M,Analista de Software,Semi,28,"Basilea, Suiza",Hibrido,"$18,000",O,9578642,No
SCOTT,MORALES,SCOTT MORALES,M,Desarrollador de software II,Semi,32,"Basilea, Suiza",Teletrabajo,"$17,000",C,9342538,Si
LAWRENCE,MURPHY,LAWRENCE MURPHY,M,Analista de Software,Semi,28,"Lyon, Francia",Hibrido,"$20,000",C,9763185,No
ARIEL,COOK,ARIEL COOK,M,Especialista de Software,Semi,34,"Zurich, Suiza",Teletrabajo,"$18,000",S,9649403,No
SKYLER,ROGERS,SKYLER ROGERS,M,Especialista de Software,Semi,28,"Basilea, Suiza",Presencial,"$16,000",O,8868007,No
DANNY,GUTIERREZ,DANNY GUTIERREZ,M,Especialista de Software,Semi,27,"Zurich, Suiza",Teletrabajo,"$19,000",O,8913903,Si
ROLAND,ORTIZ,ROLAND ORTIZ,M,Ingeniero de software I,Semi,30,"Zurich, Suiza",Hibrido,"$17,000",S,9285181,No
CHANDLER,MORGAN,CHANDLER MORGAN,M,Especialista de Software,Semi,32,"Madrid, España",Hibrido,"$18,000",S,8749920,Si
YUSUF,COOPER,YUSUF COOPER,M,Ingeniero de software I,Semi,28,"Ginebra, Suiza",Presencial,"$18,000",C,9234191,Si
SAMSON,PETERSON,SAMSON PETERSON,M,Desarrollador de software II,Semi,30,"Basilea, Suiza",Presencial,"$20,000",O,8742961,Si
CASE,BAILEY,CASE BAILEY,M,Ingeniero de software II,Semi,35,"Ginebra, Suiza",Teletrabajo,"$18,000",O,8988984,No
ZAIN,REED,ZAIN REED,M,Especialista de Software,Semi,33,"Touluse, Francia",Hibrido,"$17,000",S,9593323,Si
ROY,KELLY,ROY KELLY,M,Analista de Software,Semi,26,"Ginebra, Suiza",Teletrabajo,"$17,000",O,9207327,Si
RODRIGO,HOWARD,RODRIGO HOWARD,M,Ingeniero de software II,Semi,35,"Basilea, Suiza",Hibrido,"$19,000",C,8845990,No
SUTTON,RAMOS,SUTTON RAMOS,M,Especialista de Software,Semi,28,"Ginebra, Suiza",Hibrido,"$20,000",O,9635616,Si
BOONE,KIM,BOONE KIM,M,Ingeniero de software I,Semi,31,"Lyon, Francia",Hibrido,"$19,000",C,9348574,Si
SAINT,COX,SAINT COX,M,Analista de Software,Semi,28,"Zurich, Suiza",Hibrido,"$17,000",S,9176230,No
SAUL,WARD,SAUL WARD,M,Analista de Software,Semi,30,"Ginebra, Suiza",Hibrido,"$16,000",S,8691300,No
JAZIEL,RICHARDSON,JAZIEL RICHARDSON,M,Ingeniero de software I,Semi,30,"Lyon, Francia",Presencial,"$17,000",C,9041440,No
HEZEKIAH,WATSON,HEZEKIAH WATSON,M,Ingeniero de software II,Semi,35,"Ginebra, Suiza",Teletrabajo,"$15,000",C,8732932,Si
ALEC,BROOKS,ALEC BROOKS,M,Desarrollador de software II,Semi,35,"Lyon, Francia",Presencial,"$16,000",S,9677558,Si
ARTURO,CHAVEZ,ARTURO CHAVEZ,M,Desarrollador de software I,Semi,30,"Zurich, Suiza",Hibrido,"$20,000",S,9183491,Si
JAMARI,WOOD,JAMARI WOOD,M,Analista de Software,Semi,25,"Ginebra, Suiza",Teletrabajo,"$16,000",O,9414897,No
JAXTYN,JAMES,JAXTYN JAMES,M,Ingeniero de software II,Semi,34,"Madrid, España",Teletrabajo,"$17,000",O,9117796,No
JULIEN,BENNET,JULIEN BENNET,M,Analista de Software,Semi,30,"Touluse, Francia",Teletrabajo,"$16,000",C,8867786,No
KOA,GRAY,KOA GRAY,M,Ingeniero de software I,Semi,29,"Ginebra, Suiza",Teletrabajo,"$16,000",S,8743002,Si
REECE,MENDOZA,REECE MENDOZA,M,Analista de Software,Semi,28,"Touluse, Francia",Teletrabajo,"$18,000",S,9587181,No
LANDEN,RUIZ,LANDEN RUIZ,M,Desarrollador de software I,Semi,28,"Ginebra, Suiza",Hibrido,"$19,000",S,9219438,Si
KODA,HUGHES,KODA HUGHES,M,Especialista de Software,Semi,31,"Basilea, Suiza",Presencial,"$18,000",C,9770000,Si
DARIUS,PRICE,DARIUS PRICE,M,Desarrollador de software II,Semi,30,"Zurich, Suiza",Presencial,"$15,000",C,9771404,Si
SYLAS,ALVAREZ,SYLAS ALVAREZ,M,Ingeniero de software I,Semi,25,"Lyon, Francia",Presencial,"$20,000",S,9707868,No
ARES,CASTILLO,ARES CASTILLO,M,Desarrollador de software I,Semi,29,"Zurich, Suiza",Presencial,"$15,000",S,9749287,Si
KYREE,SANDERS,KYREE SANDERS,M,Desarrollador de software I,Semi,25,"Basilea, Suiza",Teletrabajo,"$16,000",O,8779338,No
BOSTON,PATEL,BOSTON PATEL,M,Ingeniero de software I,Semi,34,"Zurich, Suiza",Hibrido,"$20,000",S,9260708,No
KEITH,MYERS,KEITH MYERS,M,Ingeniero de software I,Semi,27,"Zurich, Suiza",Teletrabajo,"$19,000",O,9522939,Si
JOHAN,LONG,JOHAN LONG,M,Ingeniero de software II,Semi,29,"Ginebra, Suiza",Presencial,"$15,000",S,8859269,Si
EDISON,ROSS,EDISON ROSS,M,Ingeniero de software I,Semi,25,"Basilea, Suiza",Presencial,"$18,000",O,8711717,Si
SINCERE,FOSTER,SINCERE FOSTER,M,Desarrollador de software I,Semi,31,"Lyon, Francia",Presencial,"$20,000",S,8972256,No
WATSON,JIMENEZ,WATSON JIMENEZ,M,Ingeniero de software I,Semi,34,"Madrid, España",Hibrido,"$17,000",C,9788781,Si
JERRY,SMITH,JERRY SMITH,M,Desarrollador de software I,Semi,32,"Touluse, Francia",Teletrabajo,"$15,000",S,9263893,No
NIKOLAS,JOHNSON,NIKOLAS JOHNSON,M,Ingeniero de software II,Semi,26,"Zurich, Suiza",Teletrabajo,"$18,000",S,9467443,No
QUINCY,WILLIAMS,QUINCY WILLIAMS,M,Desarrollador de software I,Semi,25,"Zurich, Suiza",Presencial,"$15,000",O,9418237,Si
SHEPHERD,BROWN,SHEPHERD BROWN,M,Desarrollador de software II,Semi,27,"Lyon, Francia",Hibrido,"$17,000",O,9427564,No
BRYCEN,JONES,BRYCEN JONES,M,Ingeniero de software II,Semi,35,"Ginebra, Suiza",Presencial,"$15,000",S,8849464,Si
MARVIN,GARCIA,MARVIN GARCIA,M,Ingeniero de software I,Semi,25,"Zurich, Suiza",Teletrabajo,"$16,000",S,9589739,No
DARIEL,MILLER,DARIEL MILLER,M,Ingeniero de software I,Semi,27,"Madrid, España",Presencial,"$20,000",O,9752625,No
AXTON,DAVIS,AXTON DAVIS,M,Especialista de Software,Semi,27,"Madrid, España",Hibrido,"$20,000",S,8717827,Si
DONALD,RODRIGUEZ,DONALD RODRIGUEZ,M,Desarrollador de software I,Semi,25,"Ginebra, Suiza",Teletrabajo,"$16,000",C,8916237,Si
BODIE,MARTINEZ,BODIE MARTINEZ,M,Ingeniero de software I,Semi,29,"Basilea, Suiza",Teletrabajo,"$18,000",C,9853897,No
FINNLEY,HERNANDEZ,FINNLEY HERNANDEZ,M,Desarrollador de software II,Semi,31,"Basilea, Suiza",Presencial,"$15,000",C,9290754,Si
ONYX,LOPEZ,ONYX LOPEZ,M,Ingeniero de software I,Semi,35,"Ginebra, Suiza",Presencial,"$17,000",O,9573049,No
RAYAN,GONZALES,RAYAN GONZALES,M,Ingeniero de software I,Semi,34,"Basilea, Suiza",Presencial,"$19,000",O,8701155,Si
RAYLAN,WILSON,RAYLAN WILSON,M,Desarrollador de software II,Semi,27,"Ginebra, Suiza",Presencial,"$19,000",O,8812278,Si
BRIXTON,ANDERSON,BRIXTON ANDERSON,M,Desarrollador de software II,Semi,25,"Touluse, Francia",Presencial,"$18,000",S,9276582,Si
COLBY,THOMAS,COLBY THOMAS,M,Desarrollador de software II,Semi,28,"Touluse, Francia",Presencial,"$20,000",S,9235734,Si
VALENTINO,TAYLOR,VALENTINO TAYLOR,M,Analista de Software,Semi,34,"Madrid, España",Hibrido,"$15,000",O,9791592,Si
LAYTON,MOORE,LAYTON MOORE,M,Analista de Software,Semi,26,"Basilea, Suiza",Teletrabajo,"$17,000",S,8975445,Si
TRENTON,JACKSON,TRENTON JACKSON,M,Ingeniero de software II,Semi,35,"Zurich, Suiza",Hibrido,"$18,000",C,9092117,Si
LANDYN,MARTIN,LANDYN MARTIN,M,Desarrollador de software I,Semi,35,"Ginebra, Suiza",Teletrabajo,"$20,000",S,9182833,No
ALESSANDRO,LEE,ALESSANDRO LEE,M,Desarrollador de software II,Semi,27,"Touluse, Francia",Presencial,"$20,000",S,8889621,Si
AHMAD,PEREZ,AHMAD PEREZ,M,Desarrollador de software I,Semi,32,"Lyon, Francia",Teletrabajo,"$16,000",O,8711510,No
GUSTAVO,THOMPSON,GUSTAVO THOMPSON,M,Analista de Software,Semi,35,"Madrid, España",Hibrido,"$18,000",O,8839348,No
LEDGER,WHITE,LEDGER WHITE,M,Desarrollador de software II,Semi,33,"Basilea, Suiza",Hibrido,"$17,000",O,9752902,Si
RIDGE,HARRIS,RIDGE HARRIS,M,Ingeniero de software II,Semi,27,"Madrid, España",Presencial,"$20,000",C,8809829,Si
ANDER,SANCHEZ,ANDER SANCHEZ,M,Desarrollador de software I,Semi,30,"Lyon, Francia",Presencial,"$16,000",C,8767093,Si
AHMED,CLARK,AHMED CLARK,M,Desarrollador de software II,Semi,33,"Zurich, Suiza",Teletrabajo,"$16,000",O,9746732,Si
KINGSLEY,RAMIREZ,KINGSLEY RAMIREZ,M,Desarrollador de software I,Semi,31,"Touluse, Francia",Hibrido,"$19,000",C,9736922,No
ISSAC,LEWIS,ISSAC LEWIS,M,Ingeniero de software II,Semi,30,"Zurich, Suiza",Teletrabajo,"$17,000",O,9638424,Si
MAURICIO,ROBINSON,MAURICIO ROBINSON,M,Ingeniero de software II,Semi,31,"Touluse, Francia",Hibrido,"$15,000",O,9201401,Si
TONY,WALKER,TONY WALKER,M,Desarrollador de software I,Semi,28,"Zurich, Suiza",Hibrido,"$18,000",O,9578548,Si
LEONARD,YOUNG,LEONARD YOUNG,M,Desarrollador de software II,Semi,35,"Ginebra, Suiza",Hibrido,"$17,000",O,9351030,No
MOHAMMED,ALLEN,MOHAMMED ALLEN,M,Desarrollador de software II,Semi,35,"Ginebra, Suiza",Hibrido,"$15,000",O,9624437,Si
URIAH,KING,URIAH KING,M,Ingeniero de software II,Semi,32,"Basilea, Suiza",Hibrido,"$16,000",S,9530289,No
DUKE,WRIGHT,DUKE WRIGHT,M,Especialista de Software,Semi,32,"Basilea, Suiza",Presencial,"$17,000",O,9326002,No
KAREEM,SCOTT,KAREEM SCOTT,M,Especialista de Software,Semi,27,"Ginebra, Suiza",Teletrabajo,"$17,000",S,9762881,Si
